model,batch_size,kv_len,bmm1_ms,bmm2_ms,recon_total_ms,attn_ms,recon_pct,bmm1_tflops,bmm2_tflops,bmm1_bw_GBs,bmm2_bw_GBs,full_model_recon_ms,full_model_attn_ms
DeepSeek-V3,1,4096,0.019328000023961067,0.01894400082528591,0.03827200084924698,0.026335999369621277,59.2,0.87,0.89,877,894,2.33,1.61
DeepSeek-V3,16,4096,0.019200000911951065,0.01897599920630455,0.038176000118255615,0.058240000158548355,39.6,13.98,14.15,1010,1022,2.33,3.55
DeepSeek-V3,64,4096,0.018559999763965607,0.018559999763965607,0.03711999952793121,0.14812800288200378,20.0,57.85,57.85,1469,1469,2.26,9.04
DeepSeek-V3,256,4096,0.03574400022625923,0.034304000437259674,0.0700480006635189,0.547104001045227,11.4,120.16,125.20,1643,1712,4.27,33.37
