model,batch_size,kv_len,bmm1_ms,bmm2_ms,recon_total_ms,attn_ms,recon_pct,bmm1_tflops,bmm2_tflops,bmm1_bw_GBs,bmm2_bw_GBs,full_model_recon_ms,full_model_attn_ms
DeepSeek-V3,1,512,0.017376000061631203,0.01740800030529499,0.03478400036692619,0.020608000457286835,62.8,0.97,0.96,975,973,2.12,1.26
DeepSeek-V3,16,512,0.017823999747633934,0.017535999417304993,0.03535999916493893,0.027775999158620834,56.0,15.06,15.31,1088,1106,2.16,1.69
DeepSeek-V3,64,512,0.01740800030529499,0.01727999933063984,0.03468799963593483,0.032575998455286026,51.6,61.68,62.14,1566,1578,2.12,1.99
DeepSeek-V3,256,512,0.035071998834609985,0.03324799984693527,0.06831999868154526,0.10294400155544281,39.9,122.46,129.18,1674,1766,4.17,6.28
DeepSeek-V3,1024,512,0.08140800148248672,0.07958400249481201,0.16099200397729874,0.3625600039958954,30.7,211.03,215.87,2267,2319,9.82,22.12
