model,batch_size,kv_len,bmm1_ms,bmm2_ms,recon_total_ms,attn_ms,recon_pct,bmm1_tflops,bmm2_tflops,bmm1_bw_GBs,bmm2_bw_GBs,full_model_recon_ms,full_model_attn_ms
DeepSeek-V2-Lite,1,2048,0.01727999933063984,0.017311999574303627,0.034591998904943466,0.022816000506281853,60.3,0.12,0.12,123,122,0.93,0.62
DeepSeek-V2-Lite,4,2048,0.017503999173641205,0.017184000462293625,0.03468799963593483,0.021824000403285027,61.4,0.48,0.49,124,127,0.94,0.59
DeepSeek-V2-Lite,16,2048,0.017023999243974686,0.01711999997496605,0.034143999218940735,0.026240000501275063,56.5,1.97,1.96,142,142,0.92,0.71
DeepSeek-V2-Lite,64,2048,0.01711999997496605,0.017023999243974686,0.034143999218940735,0.06915199756622314,33.1,7.84,7.88,199,200,0.92,1.87
DeepSeek-V2-Lite,128,2048,0.017343999817967415,0.017376000061631203,0.03471999987959862,0.11721599847078323,22.9,15.48,15.45,272,272,0.94,3.16
DeepSeek-V2-Lite,256,2048,0.017376000061631203,0.017184000462293625,0.03456000052392483,0.21939200162887573,13.6,30.90,31.24,422,427,0.93,5.92
DeepSeek-V2-Lite,512,2048,0.01740800030529499,0.01727999933063984,0.03468799963593483,N/A,100.0,61.68,62.14,723,728,0.94,N/A
DeepSeek-V2-Lite,1024,2048,0.019231999292969704,0.017535999417304993,0.036767998710274696,0.8295999765396118,4.2,111.66,122.46,1199,1316,0.99,22.40
